明石書店,あかししょてん,http://www.akashi.co.jp/,101-0021,東京都千代田区外神田6-9-5,03-5818-1171,03-5818-1174
あかね書房,あかねしょぼう,http://www.akaneshobo.co.jp/,101-0065,東京都千代田区西神田3-2-1 千代田ファーストビル南館1階,03-3263-0641,03-3263-5440
秋田書店,あきたしょてん,http://www.akitashoten.co.jp/,102-8101,東京都千代田区飯田橋2‐10‐8,03-3264-7011,03-3265-9076
朝倉書店,あさくらしょてん,http://www.asakura.co.jp/,162-8707,東京都新宿区新小川町6‐29,03-3260-7631,03-3260-0180
旭屋出版,あさひやしゅっぱん,http://www.asahiya-jp.com,160-0005,東京都新宿区愛住町23-2　ﾍﾞﾙｯｸｽ新宿ビルⅡ,03-5369-6421,03-5369-6430
明日香出版社,あすかしゅっぱんしゃ,http://www.asuka-g.co.jp,112-0005,東京都文京区水道2‐11‐5,03-5395-7650,03-5395-7651
梓出版社,あずさしゅっぱんしゃ,http://www.azusa-syuppan.co.jp/,270-0034,千葉県松戸市新松戸7-65,047-344-8118,047-344-8118
あすなろ書房,あすなろしょぼう,http://www.asunaroshobo.co.jp,162-0041,東京都新宿区早稲田鶴巻町551-4,03-3203-3350,03-3202-3952
アリス館,ありすかん,http:// www.alicekan.com/info/,112-0002,東京都文京区小石川5-5-5,03-5976-7011,03-3944-1228
家の光協会,いえのひかりきょうかい,http://www.ienohikari.net/,162-8448,東京都新宿区市谷船河原町11,03-3266-9000,03-3266-9053
医学書院,いがくしょいん,http://www.igaku-shoin.co.jp,113‐8719,東京都文京区本郷1-28-23,,
池田書店,いけだしょてん,http://www.ikedashoten.co.jp,162-0851,東京都新宿区弁天町43,03-3267-6821,03-3235-6672
医歯薬出版,いしやくしゅっぱん,http://www.ishiyaku.co.jp/,113-8612,東京都文京区本駒込1‐7‐10,03-5395-7604,03-5395-7606
和泉書院,いずみしょいん,http://www.izumipb.co.jp/,543-0037,大阪市天王寺区上之宮町7-6,06-6771-1467,06-6771-1508
井上書院,いのうえしょいん,http://www.inoueshoin.co.jp/,113-0034,東京都文京区湯島2‐17‐15　斎藤ビル4階,03-5689-5481,03-5689-5483
今人舎,いまじんしゃ,http://www.imajinsha.co.jp/,186-0001,東京都国立市北1-7-23,042-575-8888,042-575-8886
岩崎書店,いわさきしょてん,http://www.iwasakishoten.co.jp/,112-0005,東京都文京区水道1‐9‐2,03-3812-9131,03-3816-6033
岩波書店,いわなみしょてん,http://www.iwanami.co.jp/,101‐8002,東京都千代田区一ツ橋2‐5‐5,03-5210-4000,
インプレスホールディングス,いんぷれすほーるでぃんぐす,http://www.impressholdings.com/,101-0051,東京都千代田区神田神保町1-105,03-6837-5000,03-6837-5001
WAVE出版,うぇいぶしゅっぱん,http://www.wave-publishers.co.jp/,102-0074,東京都千代田区九段南3-9-12九段ニッカナビル2階,03-3261-3713,03-3261-3823
潮出版社,うしおしゅっぱんしゃ,http://www.usio.co.jp/,102-8110,東京都千代田区一番町6　一番町SQUARE,03-3230-0768,
内田老鶴圃,うちだろうかくほ,http://www.rokakuho.co.jp/,112-0012,東京都文京区大塚3‐34‐3,03-3945-6781,03-3945-6782
芸艸堂,うんそうどう,http://www.unsodo.net,113-0034,東京都文京区湯島1‐3‐6,03-3818-3811,03-3813-4645
英宝社,えいほうしゃ,http://www.eihosha.co.jp/,101-0032,東京都千代田区岩本町2-7-7　第一井口ビル,03-5833-5870,03-5833-5872
ＮＨＫ出版,えぬえいちけーしゅっぱん,http://www.nhk-book.co.jp/,150‐0042,東京都渋谷区宇田川町10-3,03-3780-3353,
ＮＴＴ出版,えぬてぃてぃしゅっぱん,http://www.nttpub.co.jp/,108-0023,東京都港区芝浦3-4-1　グランパークタワー14階,03-5434-1020,03-5434-0909
旺文社,おうぶんしゃ,http://www.obunsha.co.jp/,162-8680,東京都新宿区横寺町55,03-3266-6000,
大阪教育図書,おおさかきょういくとしょ,http://www2.osk.3web.ne.jp/~daikyopb/index.html,530-0055,大阪市北区野崎町1‐25　新大和ビル3 階,06-6361-5936,06-6361-5819
大阪大学出版会,おおさかだいがくしゅっぱんかい,http://www.osaka-up.or.jp,565-0871,大阪府吹田市山田丘2-7ウエストフロント内,06-6877-1614,06-6877-1614
大月書店,おおつきしょてん,http://www.otsukishoten.co.jp/,113-0033,東京都文京区本郷2‐27-16,03-3813-4651,03-3813-4656
御茶の水書房,おちゃのみずしょぼう,http://www.ochanomizushobo.co.jp/,113-0033,東京都文京区本郷5‐30‐20,03-5684-0751,03-5684-0753
オトバンク,おとばんく,http:// www.otobank.co.jp/,113-0033,東京都文京区本郷3-4-6　御茶ノ水海エビヌマビル８階,3-5805-2915,03-5805-2917
オーム社,おーむしゃ,http://www.ohmsha.co.jp/,101-8460,東京都千代田区神田錦町3‐1,03-3233-0641,03-3291-2156
オライリー・ジャパン,おらいりー・じゃぱん,https://www.oreilly.co.jp/,160-0002,東京都新宿区四谷坂町12-22,03-3356-5227,03-3556-5261
音楽之友社,おんがくのともしゃ,http://www.ongakunotomo.co.jp/,162-8716,東京都新宿区神楽坂6‐30,03-3235-2111,03-3235-2148
